"batter","batter_name"
543698,"Donn Roach"
430652,"Jason Bourgeois"
491676,"Gorkys Hernandez"
571918,"Deven Marrero"
543557,"Mike Montgomery"
544365,"Manny Banuelos"
502054,"Thomas Pham"
542587,"Elvis Araujo"
430911,"David Aardsma"
453385,"Clayton Richard"
594736,"Cody Anderson"
489067,"Ryan Lollis"
527043,"Jefry Marte"
543038,"Dusty Coleman"
517593,"Danny Salazar"
474668,"Eric Surkamp"
460003,"Taylor Teagarden"
542923,"Dallas Beeler"
571760,"Andrew Heaney"
596144,"Cheslor Cuthbert"
518170,"Jordany Valdespin"
430681,"Dan Johnson"
533167,"Matt Shoemaker"
572233,"Christian Walker"
502010,"Jacob Brigham"
542674,"Gonzalez Germen"
444836,"Aaron Laffey"
115629,"LaTroy Hawkins"
524968,"Jesus Montero"
608701,"Robert Refsnyder"
545404,"Brandon Beachy"
445197,"Michael Dunn"
500610,"Deolis Guerra"
592612,"Josh Osich"
542513,"Tomas Telis"
591712,"Oscar Hernandez"
446372,"Corey Kluber"
471911,"Carlos Carrasco"
543094,"Jaff Decker"
518603,"Justin De Fratus"
543219,"Sean Gilmartin"
519043,"Matt Moore"
425835,"Chin-hui Tsao"
457448,"Matt Harrison"
543569,"Brent Morel"
543881,"Pedro Villarreal"
527048,"Martin Perez"
465753,"Pedro Florimon Jr."
542866,"Austin Adams"
643327,"Zack Godley"
544725,"Leury Garcia"
542583,"Jesus Aguilar"
445926,"Jesse Chavez"
545346,"Zach Lee"
605135,"Chris Bassitt"
518420,"Dylan Axelrod"
425657,"Javier Lopez"
543243,"Sonny Gray"
456776,"Alexander Torres"
571787,"David Holmberg"
460269,"Chris Gimenez"
592835,"Kyle Waldrop"
474284,"Cory Rasmus"
592804,"Tyler Thornburg"
460701,"James Russell"
458668,"Jordan Danks"
572128,"Richie Shaffer"
433587,"Felix Hernandez"
595005,"Ryan Strausborger"
543105,"Alex Dickerson"
457449,"Jamie Romak"
606299,"Jose Peraza"
593576,"Hector Neris"
429400,"Adam Loewen"
453214,"Steven Wright"
593958,"Eduardo Rodriguez"
473724,"Matt McBride"
595885,"Gregory Bird"
543633,"Juan Perez"
543424,"John Lamb"
429719,"Edwin Jackson"
625329,"Henry Urrutia"
594555,"Garin Cecchini"
592329,"Jason Garcia"
474249,"Ryan Jackson"
592230,"Kaleb Cowart"
571656,"Buck Farmer"
543278,"Blaine Hardy"
450665,"Kris Medlen"
592341,"David Goforth"
571437,"Aaron Altherr"
594857,"Keith Hessler"
596057,"Daniel Norris"
572182,"Darnell Sweeney"
572309,"Kendry Flores"
607208,"Trea Turner"
518755,"Matt Hague"
534606,"Ryan LaMarre"
605374,"Andrew McKirahan"
444446,"Collin Balester"
488674,"Burke Badenhop"
457926,"Paul Janish"
449170,"Erik Cordier"
461325,"Tyler Clippard"
450317,"J.P. Arencibia"
448614,"Carlos Torres"
446321,"Ross Detwiler"
571951,"Bryan Mitchell"
596064,"Henry Owens"
645848,"Dariel Alvarez"
605156,"Aaron Brooks"
622663,"Luis Severino"
501593,"Luis Avilan"
519381,"Pat Venditte"
572038,"Branden Pinder"
543308,"John Hicks"
545358,"Max Stassi"
489119,"Wade Miley"
594742,"Alec Asher"
547973,"Aroldis Chapman"
501822,"Chris Hatcher"
407890,"Colby Lewis"
571912,"Luke Maile"
491646,"Jeanmar Gomez"
445095,"Jason Pridie"
552662,"Stefen Romero"
502523,"Shawn O'Malley"
605253,"Terrance Gore"
542963,"Robert Brantly"
450641,"Quintin Berry"
519082,"Nick Noonan"
492841,"Michael Martinez"
541608,"Ramon Cabrera"
542942,"Carson Blair"
502570,"Rocky Gale"
519425,"Jackson Williams"
460131,"Brian Bogusevic"
592340,"Erik Goeddel"
570615,"Steven Moya"
502213,"Nevin Ashley"
516414,"Ariel Pena"
571467,"Steven Baron"
598284,"Peter O'Brien"
553869,"Elias Diaz"
608596,"Tom Murphy"
572804,"Cody Decker"
488818,"Chase D'Arnaud"
542908,"Jett Bandy"
518886,"Craig Kimbrel"
501381,"Michael Pineda"
282332,"CC Sabathia"
600474,"Pedro Severino"
502023,"Travis Tartamella"
501957,"Chris Tillman"
435623,"Kevin Frandsen"
543391,"Casey Kelly"
605439,"Michael Reed"
459967,"Sam LeCure"
457762,"Bryan Anderson"
605218,"C.J. Edwards"
605347,"Jorge Lopez"
592596,"Rico Noel"
596142,"Gary Sanchez"
666560,"Byung-ho Park"
628329,"Rusney Castillo"
607074,"Carlos Rodon"
592274,"Matt Duffy"
432934,"Chris Young"
