"batter","batter_name"
425657,"Javier Lopez"
543243,"Sonny Gray"
592710,"Josh Rutledge"
456776,"Alexander Torres"
571787,"David Holmberg"
606466,"Ketel Marte"
460269,"Chris Gimenez"
572102,"Keyvius Sampson"
592835,"Kyle Waldrop"
474284,"Cory Rasmus"
592804,"Tyler Thornburg"
460701,"James Russell"
458668,"Jordan Danks"
605509,"Kelby Tomlinson"
572128,"Richie Shaffer"
433587,"Felix Hernandez"
572204,"Trayce Thompson"
592351,"Jon Gray"
429780,"Chris Narveson"
595005,"Ryan Strausborger"
543105,"Alex Dickerson"
457449,"Jamie Romak"
606299,"Jose Peraza"
593576,"Hector Neris"
429400,"Adam Loewen"
453214,"Steven Wright"
607067,"Colin Rea"
593958,"Eduardo Rodriguez"
473724,"Matt McBride"
444857,"Scott Feldman"
595885,"Gregory Bird"
543633,"Juan Perez"
543424,"John Lamb"
429719,"Edwin Jackson"
625329,"Henry Urrutia"
594555,"Garin Cecchini"
592329,"Jason Garcia"
474249,"Ryan Jackson"
592230,"Kaleb Cowart"
571656,"Buck Farmer"
543278,"Blaine Hardy"
450665,"Kris Medlen"
592341,"David Goforth"
571437,"Aaron Altherr"
594857,"Keith Hessler"
596057,"Daniel Norris"
572863,"Dustin Garneau"
572182,"Darnell Sweeney"
595191,"Jerad Eickhoff"
572309,"Kendry Flores"
608671,"Travis Jankowski"
607208,"Trea Turner"
518755,"Matt Hague"
534606,"Ryan LaMarre"
605374,"Andrew McKirahan"
468504,"Jhoulys Chacin"
444446,"Collin Balester"
488674,"Burke Badenhop"
457926,"Paul Janish"
449170,"Erik Cordier"
461325,"Tyler Clippard"
450317,"J.P. Arencibia"
448614,"Carlos Torres"
446321,"Ross Detwiler"
571951,"Bryan Mitchell"
596064,"Henry Owens"
645848,"Dariel Alvarez"
605156,"Aaron Brooks"
622663,"Luis Severino"
501593,"Luis Avilan"
519381,"Pat Venditte"
572038,"Branden Pinder"
543308,"John Hicks"
545358,"Max Stassi"
489119,"Wade Miley"
594742,"Alec Asher"
594807,"Adam Duvall"
547973,"Aroldis Chapman"
501822,"Chris Hatcher"
407890,"Colby Lewis"
493343,"Hector Olivera"
571912,"Luke Maile"
595879,"Javier Baez"
542436,"Cristhian Adames"
592273,"Brandon Drury"
491646,"Jeanmar Gomez"
445095,"Jason Pridie"
552662,"Stefen Romero"
502523,"Shawn O'Malley"
605253,"Terrance Gore"
605200,"Zach Davies"
542963,"Robert Brantly"
608369,"Corey Seager"
450641,"Quintin Berry"
519082,"Nick Noonan"
492841,"Michael Martinez"
541608,"Ramon Cabrera"
542942,"Carson Blair"
502570,"Rocky Gale"
519425,"Jackson Williams"
460131,"Brian Bogusevic"
592340,"Erik Goeddel"
593647,"Socrates Brito"
543901,"James Weber"
570615,"Steven Moya"
502213,"Nevin Ashley"
516414,"Ariel Pena"
571467,"Steven Baron"
598284,"Peter O'Brien"
553869,"Elias Diaz"
608596,"Tom Murphy"
591720,"Ronald Torreyes"
572804,"Cody Decker"
488818,"Chase D'Arnaud"
542908,"Jett Bandy"
518886,"Craig Kimbrel"
592274,"Matt Duffy"
605232,"Brandon Finnegan"
572362,"Robbie Erlin"
501381,"Michael Pineda"
623143,"Trevor Brown"
282332,"CC Sabathia"
600474,"Pedro Severino"
592680,"Yadiel Rivera"
542979,"Keon Broxton"
607776,"Mac Williamson"
502023,"Travis Tartamella"
501957,"Chris Tillman"
435623,"Kevin Frandsen"
543391,"Casey Kelly"
605439,"Michael Reed"
459967,"Sam LeCure"
596146,"Max Kepler"
457762,"Bryan Anderson"
605218,"C.J. Edwards"
605347,"Jorge Lopez"
519222,"Austin Romine"
592596,"Rico Noel"
596142,"Gary Sanchez"
596115,"Trevor Story"
666560,"Byung-ho Park"
572073,"Joey Rickard"
501986,"Cedric Hunter"
595023,"Colin Walsh"
518466,"Jabari Blash"
518586,"Charlie Culberson"
493193,"Dae-Ho Lee"
547172,"Tony Wolters"
571980,"Tyler Naquin"
571681,"Reymond Fuentes"
434378,"Justin Verlander"
612672,"Wei-Yin Chen"
643603,"Tyler White"
649557,"Aledmys Diaz"
571757,"Jeremy Hazelbaker"
543022,"Tyler Chatwood"
595963,"Tyler Goeddel"
628317,"Kenta Maeda"
596847,"Ji-Man Choi"
467008,"Pedro Strop"
596112,"Robert Stephenson"
457768,"Bryan Morris"
548389,"Ross Stripling"
519141,"Drew Pomeranz"
592826,"Vincent Velasquez"
608577,"Nomar Mazara"
547957,"Hyun-Soo Kim"
543532,"Timothy Melville"
573185,"Dan Straily"
570663,"Hansel Robles"
592592,"Brett Nicholas"
605480,"Mallex Smith"
543877,"Christian Vazquez"
542364,"Rafael Ortega"
501936,"Matt Buschmann"
593523,"Marco Hernandez"
502028,"Blake Wood"
608665,"Kendall Graveman"
543456,"Kyle Lobstein"
543746,"Rob Scahill"
453265,"Tony Watson"
543859,"Michael Tonkin"
570714,"Cesar Vargas"
594760,"Aaron Blair"
502457,"Drew Hayes"
608648,"Tyler Duffey"
472551,"Fernando Abad"
594951,"Ryan O'Rourke"
424144,"Oliver Perez"
519263,"AJ Schugel"
518625,"Matt Dominguez"
543148,"Tim Federowicz"
458678,"Michael Broadway"
643297,"Cody Ege"
534947,"Tim Adleman"
476570,"Vincent Mazzaro"
448855,"Junior Guerra"
607374,"Nick Tropeano"
501888,"Ryan Kalish"
449168,"Matt Tuiasosopo"
571882,"Derek Law"
518991,"Darin Mastroianni"
